Highlight,Title,Author,URL,Note,Location,Date
祸人者，莫如多,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,,14,2024-10-15 05:52:26
易多者，莫如美,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,,14,2024-10-15 05:53:19
不美则不令人多，不多则不令人败,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,"作者是这个逻辑啊。 
美 多 败",14,2024-10-15 05:55:45
夫鱼见饵不见钩，虎见羊不见阱，猩猩见酒不见人，非不见也，迷于所美而不暇顾也。,呻吟语（精）全二册--中华经典名著全本全注全译 - highlights,,,利令智昏,14,2024-10-15 05:57:07
